reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime
A1YJEY40YUW4SE,7806397051,Andrea,"[3, 4]","Very oily and creamy. Not at all what I expected... ordered this to try to highlight and contour and it just looked awful!!! Plus, took FOREVER to arrive.",1.0,Don't waste your money,1391040000,"01 30, 2014"
A60XNB876KYML,7806397051,Jessica H.,"[1, 1]","This palette was a decent price and I was looking for a few different shades. This palette conceals decently, however, it does somewhat cake up and crease.",3.0,OK Palette!,1397779200,"04 18, 2014"
A3G6XNM240RMWA,7806397051,Karen,"[0, 1]","The texture of this concealer pallet is fantastic, it has great coverage and a wide variety of uses, I guess it's meant for professional makeup artists and a lot of the colours are of no use to me but I use at least two of them on a regular basis, and two more occasionally, which is the only reason I'm giving it for stars, I feel like the range of colors is kind of a waste for me, but the  product itself  is wonderful, it's not cakey, gives me a natural for and concealed my imperfections, therefore I highly recommend it :)",4.0,great quality,1378425600,"09 6, 2013"
A1PQFP6SAJ6D80,7806397051,Norah,"[2, 2]",I really can't tell what exactly this thing is. It's not powder but a kind of oil-ish pasty fluid. And so far I tried twice but it doesnt really show any color on my face.,2.0,Do not work on my face,1386460800,"12 8, 2013"
A38FVHZTNQ271F,7806397051,Nova Amor,"[0, 0]","It was a little smaller than I expected, but that was okay because it lasted me for a long time. I think it does great coverage for the price I paid. It is heavy, and wears off within 30-1hr. It kinda dries your skin. I'd recommend it to people who are just looking for a cheap coverage, or beginners who are just learning to conceal.",3.0,It's okay.,1382140800,"10 19, 2013"
A3BTN14HIZET6Z,7806397051,"S. M. Randall ""WildHorseWoman""","[1, 2]","I was very happy to get this palette, now I wish it was offered in subscription form like some of the makeup we use daily is.  In this unnamed set you can do a lot of blending, sculpting, highlighting and concealing.  The product is nicely pigmented, it's smooth and applies well then blends out beautifully. I have normal to dry skin as I'm 59 years, this works wonderfully under my foundation.  I also use a silicone based primer,which works well for my skin type to give me the fresh, dewy look I love.You get a good amount of product for your money here, so this is well worth the cost.  What more can you say, if one is willing to repurchase a product then that says more than mere words.",5.0,Very nice palette!,1365984000,"04 15, 2013"
A1Z59RFKN0M5QL,7806397051,"tasha ""luvely12b""","[1, 3]","PLEASE DONT DO IT! this just rachett the palette size is not like in the picture, the colors go on sheer, slides on face like wax don't expect  your makeup to stay put with this one. just spend the money for the good stuff. 2 thumbs down",1.0,smh!!!,1376611200,"08 16, 2013"
AWUO9P6PL1SY8,7806397051,TreMagnifique,"[0, 1]","Chalky,Not Pigmented,Wears off easily,Not a Coastal Scents Dupe,Too many highlighter colors,Does not show up on dark skinned women.I would not recommend.The coastal scents is currently on sale. It's worth the few extra bucks.",2.0,"Chalky, Not Pigmented, Wears off easily, Not a Coastal Scents Dupe",1378252800,"09 4, 2013"
A3LMILRM9OC3SA,9759091062,,"[0, 0]","Did nothing for me. Stings when I put it on. I used the whole tube and it just did nothing, no Lightening, no Brightening,......NOTHING. Also it tends to dry out my skin and made my face feel weird the next day. I stuck with it hoping it would LIGHTEN,.....but it didn't.",2.0,"no Lightening, no Brightening,......NOTHING",1405209600,"07 13, 2014"
A30IP88QK3YUIO,9759091062,Amina Bint Ibraheem,"[0, 0]","I bought this product to get rid of the dark spots I had on my face due to acne scars and it did help a bit.My dark spots aren't quite as noticeable but they're still there.I saw a lot of good reviews on this product, I wish it would have worked better.",3.0,Its alright,1388102400,"12 27, 2013"
APBQH4BS48CQO,9759091062,Charmmy,"[0, 0]","I have mixed feelings about this product. When I first started using it, I can see and feel the difference. It actually started to literally peel the dark skin away. There's a bit of a sting but that's how I know it was working. My skin was lighter in just a couple weeks! However, once I've stopped using it when I reached my desired skin color, it went back to being dark. I applied more and suddenly it was no longer working. It didn't peel or sting. I wonder what went wrong or if it has an expiration date or something. Overall, it works but definitely not consistent.",3.0,Mixed feelings.,1400544000,"05 20, 2014"
A3FE8W8UV95U6B,9759091062,Culture C Simmons,"[0, 0]","Did nothing for my skin. Used as suggested and no signs of brightness. Wish it worked for me, but it didn't.",1.0,Nothing,1392681600,"02 18, 2014"
A1EVGDOTGFZOSS,9759091062,"Jessica ""Anarchykisses""","[0, 1]","I bought this product about 3 months ago, I finished my tube of xtreme  brite, as soon as I was almost done with the product I started seeing results. As I applied the gel in a circular motion i was doing so, I started to see dirt like skin come off. It was incredible :) as of today my arm pits are still white, well as they should look.",5.0,This works,1390435200,"01 23, 2014"
AP5WTCMP6DTRV,9759091062,Layla B,"[0, 0]",This gell did nothing at all. I religiously put it on specific areas for weeks and nothing changed. DON'T WASTE YOUR TIME,1.0,Does nothing,1389398400,"01 11, 2014"
A21IM16PQWKVO5,9759091062,mdub9922,"[0, 1]","i got this to get rid of a scar and it did just that, if you are looking to remove any discoloration (spot) this will get rid of it, i dont know about putting it all over your face but it def work for a spot",5.0,it works,1392681600,"02 18, 2014"
A1TLDR1V4O48PK,9759091062,"Mickey O Neil ""Mickey O Neil""","[0, 0]",I used it for anal bleaching and it burned a bit there are no directions on it about time and how long to wear it,2.0,burns,1396742400,"04 6, 2014"
A6F8KH0J1AVYA,9759091062,SanBen,"[2, 4]","I order this cream along with their soap. It actually worked for me but after I finished the tube, I ordered different brand just to get quicker results (BAD IDEA). I am definitely ordering 3 more tubes so that my underarm pigment gets treated completely.",5.0,Did work for me,1379116800,"09 14, 2013"
AXPKZA7UZXKTT,9759091062,Shirleyyy,"[2, 4]",Good product. Use a little bit on your spot and the next day its already shedding the first layer of skin. By the 3 rd day the spot is almost gone. Cant get these results from the most expensive products,4.0,excellent,1382054400,"10 18, 2013"
A2SIAYDK7GG7QA,9759091062,theredtranny,"[0, 1]",I didn't use it past a week. The reason why is that it's smelled kind of funny. will look for another product that doesn't smell so perfumy.,3.0,weird smell,1383264000,"11 1, 2013"
A1QV5IH6HDRN0L,9788072216,armygirl,"[24, 24]","I haven't been a big fan of Prada's fragrances over the years but absolutely fell in love with the sweetness and candy-like scent of this perfume! This smells like a sweet, decadent caramel with tones of vanilla and I'm not sure what else, but it smells great! Although, I must say that this seller is asking for WAY too high a price for this bottle! You could get the 2.7 oz bottle for around the same price at Neiman Marcus (the 1.7 oz for around $80 if you prefer a smaller bottle)!",5.0,Love the smell of this!,1316390400,"09 19, 2011"
A3UQXHI88S7XAX,9788072216,D. Greene,"[0, 0]",We gave these as gifts and everyone that received this screamed after they put it on.  Talk about happy campers.  This stuff is great!!!,5.0,Happy,1376092800,"08 10, 2013"
A2EK2CJNJUF7OQ,9788072216,Nikki,"[1, 1]","This is the first fragrance by Prada that I love, I think its perfect and I cant wait to see it in a gift set.",5.0,Very good,1322438400,"11 28, 2011"
A2GWNGQF9SHRE4,9788072216,"Pholuke ""Lepa Shandy""","[2, 4]","So I got this about a month ago. I had no plans of buying anything that day, but I ended up getting it. I absolutely love Prada Candy, I have worn it everyday since I bought it- I practically ditched all my other fragrances!!! It is a far cry from the Prada infusion d'Iris...and all the other Prada fragrances. They got it right this time..... Like everyone has said, it's a warm and sweet smell but it doesn't last long...I practically douse myself in it!! I guess the only solution is to spritz this over and over (rather cumbersome!! I know, but hey, no other solution in sight), or better-still layer it if they decide to introduce its body lotion or body cream into the market. One other thing that I wish they'd change is the spritzer thingy ( I don't know what it's called )- it's not very reliable in my opinion as you could easily pull it off in trying to figure out how it's used. Otherwise, it's a great fragrance and I love it.",5.0,Lurrrrrrrrv.....,1338076800,"05 27, 2012"
ABV67T136UXFQ,9788072216,Sandra,"[0, 0]",This product has a very fruity scent which is great for the spring.  I love it.  I will be switching to this product this coming spring.,5.0,Great Scent,1359763200,"02 2, 2013"
A2FQZKL2KIZACO,9790790961,Ellie B.,"[1, 1]","I'm very picky when it comes to fragrance. I love to wear it, but I don't want to leave it on others after a handshake or a hug. My fragrance needs to be subtle.I sample a lot of fragrance until I settle on one that I really love and right now, BRIGHT CRYSTAL is what I put on each morning.BRIGHT CRYSTAL is like standing in a flower garden on a warm spring day and having a slight breeze blow just a hint of the garden's aroma in your direction.I put on a few drops in the morning and BRIGHT CRYSTAL is with me all day.I can't fully describe a fragrance without including a very important aspect of the product--the bottle. BRIGHT CRYSTAL is a pink liquid that comes in a rectangular clear bottle with an oversized oval-cut &#8220;crystal&#8221; stopper. It looks nice on the counter.If you enjoy a light floral scent, I definitely recommend BRIGHT CRYSTAL by Versace.",5.0,Spring Garden in a Bottle,1394496000,"03 11, 2014"
A312RDWQYLAG7S,9790790961,ltg,"[0, 1]",bright crystals reminds me of Victoria Secrets Gorgeous fragrance mist. its a very fresh smell. i bought the .17 oz bottle. i wont buy it anymore. i get a large 8.4 ox body mist from Victoria secret that smells just as good.,3.0,fresh smell,1324252800,"12 19, 2011"
A3TYR1ALBZ2EU9,9790790961,Mananagirl6,"[0, 0]",Got this product and I never heard of this so I took a chance and when I got it I fell head over heels for this new smell I won't let anybody use this perfume but me sounds selfish but its my favorite now so thanks for selling a wonderful perfume I will be stocking up on this product,5.0,My new smell!,1378598400,"09 8, 2013"
AUYVMLI0CBMYS,9790790961,Shay1234,"[0, 1]","This is a beautiful perfume! Nice, clean scent! Perfect for day or night and never gets old. I ordered this perfume (and this was the best price offered), and it came with a lotion too! That was a nice unexpected surprise! :)",5.0,One of my favs!,1391299200,"02 2, 2014"
A2H0VDRANZMGGX,9790790961,Shoe luva,"[1, 2]","This is the real Versace Bright Crystal fragrance.  My bottle was not open, tampered with, or have a strong alcohol smell. I love how clean this perfume smells. I tried it out at Macy's. I wanted to try a fendi  scent, but the salesman asked me to try Bright Crystal and another Versace scent. I smelled the other first and then Bright Crystal. I was instantly sold on the Bright Crystal. I sprayed it on myself and then came straight to amazon to get it at a fraction of the price. The bottle is huge! I'll be wearing this everyday to the office, I'm sure I'll receive tons of compliments. Because the scent is not overpowering and very clean, I don't have to worry about it being too loud in an office setting. Thanks amazon!",5.0,Smells clean,1392336000,"02 14, 2014"
A2MZDI3I5AEL74,9790790961,"Y. Siani ""I love nini""","[0, 0]",I love it! and will continue using it but it's fade out after 2 hours :(Great price BTW. in the duty free it's cost $80,3.0,Love the smell but a shame it's not last as long,1392163200,"02 12, 2014"
A17PVB3HRDWN2B,9790794231,"hippie chick ""hippie chick""","[0, 1]","I like this perfume. I first discovered it when it was an insert in a magazine i was reading and i fell in love with it. i purchased it on amazon and received it shortly afterward. I really like this soft, flirty smell, but i didnt get nearly as many comments/ compliments on it as i do with my regular perfumes... kind of a bummer... but i still like the fragrance....",3.0,yummy soft smell,1255392000,"10 13, 2009"
A3R9H6OKZHHRJD,9790794231,LH422,"[0, 0]","This is a very unique scent! It's deep and mysterious and light and floral at the same time. The deep purple bottle is so fitting for the scent- it's dusky, smoky (it doesn't smell like smoke, but it gives off that vibe), with a hint of feminine innocence. This is a hard scent to describe, one that invokes images rather than particular notes. I've not smelled anything like this anywhere else.",4.0,intriguing,1402185600,"06 8, 2014"
A2II54B3VA45LN,9790794231,Professional shopper,"[1, 15]","I am not a perfume wearer, but I heard that this is very light and unlike any other perfume. I got this in the roll-on and I don't care for it at all. Just like all other perfumes, it makes me nauseated. I'll be giving this to a relative for Christmas.",2.0,Not for me,1207008000,"04 1, 2008"
A2W0O92FZFHJOJ,9790794231,Ronnie G.,"[2, 8]","Sorry about the title. . . I couldn't help myself . . . . Anyways, Let me begin by saying there are few things more subjective than a fragrance, especially a woman's fragrance. I'm a woman (and proud) and I know how finicky we can be. But that's besides the point, let's focus on Stella.Instead of expressing a biased opinion I'm going take a objective POV. I'm going to explain the ingredients . . .Yes you heard me . .the ingredients . . .Sure . .The /are/ listed here, but do you really know what they are . . .I'm not going to explain them all, but hopefully enough to help you understand the science of the scent as well as the actually scent itself. H'okay, here we go!*Centaurea Cyanus = the common Cornflower aka ""bluebottle"" aka the Buttonierre Flower*Squalene (which may or may not come from the bladder of a shark {most likely its just synthetically created now}) = a natural moisturizer. It penetrates the skin quickly, but does not leave that nasty greasy feeling (not to mention the fact that Squalene blends well with other oils and vitamins)*Glyercin is used to preserve the essential oils and chemicals from the herbs (aka the flowers) . . .it may also be used as a bonding agent.*Prunus Amygdalus Dulcis aka ""Sweet Almond"" (think Amaretto) is used to add a sweetness to the fragrance (durrr)*Cetyl Alcohol is the surfacant which is a wetting agent that allows easier spreading*Cetyl Palmitate is basically just an compound found in most oils . .*Gylceryl stearate is basically a lubricant . .It's used in all types of cosmetics . ..Mostly it comes from animal fat but it also can be obtainesd from some unsaturated vegetable oils (I'd check up on that . . .if you are an animal rights person or whatever . . )*Polysorbate 60 is used to solubilize essential oils into water-based products . . .*As for Dimethicone is mostly used is usually listed as a ""skin protectant"" whatever that means  . . . .*Jojoba oil is an exceptional moisturizer and more importantly, it's used in a lot of cosmetics as a replacement for whale oil (some scientists even claim it's superior to whale oil)*Tocopherol contains Vitamin E which is considered good for the skin :-)*shea butter is said to be a good skin softener . . .*Triethanolamine = a Ph balancer (makes sure the perfume/lotion/whatever isn't too acidic*Citronellol is an oil found in roses . . .It should be avoided by those who tend to have perfume allergies*linalool is a typical chemical found in many flowers and plants . .It also contains Vitamin E which is good . . .*Lavandula Stoechas is simply a type of lavander. it is commonly used in air fresheners and insecticides . . .*rosa gallica = a type of Rose*limomene = a hydrocarbon; you can thank the citris note in fragrance to this*There are multiple other flowers added to the mix so I would l put this fragrance in the flowery category . .As for some beaty tips considering this scent I'd say it's of moderate strength, it lasts around 8 hours or so, it's a casual scent . .not to fancy, but definitely far from plain; and I'd doubt a kid/teen would like the scent. It takes a mature nose to adjust to the kalaedoscope (sp?) of smells that is STELLA.",4.0,STELLLAAA!!!!!,1234310400,"02 11, 2009"
